iter,res_pri,res_dual,gap,x_nrm_inf,y_nrm_inf,s_nrm_inf,x_nrm_2,y_nrm_2,s_nrm_2,x_nrm_inf_normalized,y_nrm_inf_normalized,s_nrm_inf_normalized,x_nrm_2_normalized,y_nrm_2_normalized,s_nrm_2_normalized,ax_s_btau_nrm_inf,px_aty_ctau_nrm_inf,ax_s_btau_nrm_2,px_aty_ctau_nrm_2,res_infeas,res_unbdd_a,res_unbdd_p,pobj,dobj,tau,kap,res_pri_normalized,res_dual_normalized,gap_normalized,ax_s_btau_nrm_inf_normalized,px_aty_ctau_nrm_inf_normalized,ax_s_btau_nrm_2_normalized,px_aty_ctau_nrm_2_normalized,res_infeas_normalized,res_unbdd_a_normalized,res_unbdd_p_normalized,pobj_normalized,dobj_normalized,tau_normalized,kap_normalized,ax_nrm_inf,px_nrm_inf,aty_nrm_inf,b_nrm_inf,c_nrm_inf,scale,diff_u_ut_nrm_2,diff_v_v_prev_nrm_2,diff_u_ut_nrm_inf,diff_v_v_prev_nrm_inf,aa_norm,accepted_accel_steps,rejected_accel_steps,time,
10,1.8705754644657793e+00,2.5998461396100381e+00,4.8173454353142438e+00,1.4998581960218582e+00,1.5126056813329720e+00,1.4897384559144955e+01,1.5001263593427010e+00,1.6911445633064550e+00,1.5004945634033728e+01,1.4998581960218582e+00,1.5126056813329720e+00,1.4897384559144955e+01,1.5001263593427010e+00,1.6911445633064550e+00,1.5004945634033728e+01,5.2257306996911601e-01,7.2630567674604884e-01,5.3777976419220985e-01,7.2851759028654206e-01,5.0000000000000000e-01,nan,nan,2.9854971449023360e-01,5.1158951498044773e+00,2.7936486920529480e-01,0.0000000000000000e+00,1.8705754644657793e+00,2.5998461396100381e+00,4.8173454353142438e+00,5.2257306996911601e-01,7.2630567674604884e-01,5.3777976419220985e-01,7.2851759028654206e-01,5.0000000000000000e-01,nan,nan,2.9854971449023360e-01,5.1158951498044773e+00,2.7936486920529480e-01,0.0000000000000000e+00,1.4970218500964755e+01,5.6726918507653976e-02,7.5630284066648601e-01,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,1.8398545871814975e-01,2.7597818807722457e-01,1.4489409449213148e-01,2.1734114173819719e-01,0.0000000000000000e+00,0,0,2.3321239999999997e-03,
11,4.8266795160418834e+00,6.8205861975125863e+00,8.9189000220363042e+00,1.5657043306147493e+00,1.4075736537146664e+00,1.5653636215024227e+01,1.5661913966550376e+00,1.5737151865218717e+00,1.5706303908456260e+01,1.5657043306147493e+00,1.4075736537146664e+00,1.5653636215024227e+01,1.5661913966550376e+00,1.5737151865218717e+00,1.5706303908456260e+01,4.7588437510268555e-01,6.7247274024503811e-01,6.3357276401397089e-01,6.7699434752040555e-01,4.9999999999999994e-01,nan,nan,2.6787407734962927e+00,1.1597640795532598e+01,9.8594566621016178e-02,0.0000000000000000e+00,4.8266795160418834e+00,6.8205861975125863e+00,8.9189000220363042e+00,4.7588437510268555e-01,6.7247274024503811e-01,6.3357276401397089e-01,6.7699434752040555e-01,4.9999999999999994e-01,nan,nan,2.6787407734962927e+00,1.1597640795532598e+01,9.8594566621016178e-02,0.0000000000000000e+00,1.5617986423905341e+01,7.8113764484302670e-02,7.0378682685733307e-01,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,1.6489095118335517e-01,2.4733642677503281e-01,1.2290294396344023e-01,1.8435441594516033e-01,0.0000000000000000e+00,0,0,2.6198800000000002e-03,
12,7.0018708028368636e+01,6.3026231590206599e+01,4.4754182659609603e+02,1.6305969199080730e+00,1.2885620919691532e+00,1.6261282200624425e+01,1.6308239877509934e+00,1.4406562154361813e+00,1.6334174938145289e+01,1.6305969199080730e+00,1.2885620919691532e+00,1.6261282200624425e+01,1.6308239877509934e+00,1.4406562154361813e+00,1.6334174938145289e+01,6.7953103927477920e-01,6.1166910758641524e-01,7.2500669414381325e-01,6.1408578587766660e-01,5.0000000000000011e-01,nan,nan,2.9015747084978386e+02,-1.5738435574631214e+02,9.7049925428424333e-03,0.0000000000000000e+00,7.0018708028368636e+01,6.3026231590206599e+01,4.4754182659609603e+02,6.7953103927477920e-01,6.1166910758641524e-01,7.2500669414381325e-01,6.1408578587766660e-01,5.0000000000000011e-01,nan,nan,2.9015747084978386e+02,-1.5738435574631214e+02,9.7049925428424333e-03,0.0000000000000000e+00,1.6278755896995950e+01,5.4426604169558662e-02,6.4428104598457669e-01,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,1.3269148576511247e-01,1.9903722864766862e-01,7.3593850712344894e-02,1.1039077606851734e-01,0.0000000000000000e+00,0,0,2.8265729999999998e-03,
13,1.4212003045512859e+01,1.2604819271158352e+01,3.8084768059543777e+00,1.6808114756485097e+00,1.1674212107998230e+00,1.6787528997973663e+01,1.6810641852762134e+00,1.3052165928617578e+00,1.6853060147138692e+01,1.6808114756485097e+00,1.1674212107998230e+00,1.6787528997973663e+01,1.6810641852762134e+00,1.3052165928617578e+00,1.6853060147138692e+01,6.2023443392903621e-01,5.5009437588694143e-01,7.1373315327842091e-01,5.5317459790655255e-01,5.0000000000000011e-01,nan,nan,1.5279337313707522e+01,1.1470860507753144e+01,4.3641591684351784e-02,0.0000000000000000e+00,1.4212003045512859e+01,1.2604819271158352e+01,3.8084768059543777e+00,6.2023443392903621e-01,5.5009437588694143e-01,7.1373315327842091e-01,5.5317459790655255e-01,5.0000000000000011e-01,nan,nan,1.5279337313707522e+01,1.1470860507753144e+01,4.3641591684351784e-02,0.0000000000000000e+00,1.6778967229203044e+01,5.8295054564108828e-02,5.8371060539991160e-01,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,1.0658626738480940e-01,1.5987940107721405e-01,6.1927020135043032e-02,9.2890530202564436e-02,0.0000000000000000e+00,0,0,3.0099870000000000e-03,
14,1.2003697722637281e+01,8.9890725813197676e+00,1.1250181710531635e+00,1.7248745113060588e+00,1.0496120691510251e+00,1.7221153319574139e+01,1.7250331097133886e+00,1.1735019683129511e+00,1.7294048183118583e+01,1.7248745113060588e+00,1.0496120691510251e+00,1.7221153319574139e+01,1.7250331097133886e+00,1.1735019683129511e+00,1.7294048183118583e+01,6.5474113196361405e-01,4.9030854434939147e-01,7.2285871269624269e-01,4.9253534703464069e-01,5.0000000000000011e-01,nan,nan,1.0184041466068194e+01,9.0590232950150309e+00,5.4544953321247390e-02,0.0000000000000000e+00,1.2003697722637281e+01,8.9890725813197676e+00,1.1250181710531635e+00,6.5474113196361405e-01,4.9030854434939147e-01,7.2285871269624269e-01,4.9253534703464069e-01,5.0000000000000011e-01,nan,nan,1.0184041466068194e+01,9.0590232950150309e+00,5.4544953321247390e-02,0.0000000000000000e+00,1.7225353878502990e+01,4.6782469115201272e-02,5.2480603457551267e-01,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,1.0200465084131129e-01,1.5300697626196699e-01,6.6036571781237230e-02,9.9054857671855956e-02,0.0000000000000000e+00,0,0,3.2581139999999999e-03,
15,1.0414959172701815e+01,6.9158701063875432e+00,1.1975219071190715e+00,1.7608515238425362e+00,9.3401247234752471e-01,1.7588547909044010e+01,1.7609893366318583e+00,1.0442576900008540e+00,1.7660609341267680e+01,1.7608515238425362e+00,9.3401247234752471e-01,1.7588547909044010e+01,1.7609893366318583e+00,1.0442576900008540e+00,1.7660609341267680e+01,6.5025324064330825e-01,4.3178920569691165e-01,7.3169505194150974e-01,4.3403149310446709e-01,5.0000000000000000e-01,nan,nan,8.0786942766675818e+00,6.8811723695485103e+00,6.2434545336256142e-02,0.0000000000000000e+00,1.0414959172701815e+01,6.9158701063875432e+00,1.1975219071190715e+00,6.5025324064330825e-01,4.3178920569691165e-01,7.3169505194150974e-01,4.3403149310446709e-01,5.0000000000000000e-01,nan,nan,8.0786942766675818e+00,6.8811723695485103e+00,6.2434545336256142e-02,0.0000000000000000e+00,1.7586484471018601e+01,4.4061534813521867e-02,4.6700623617376236e-01,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,9.7012708489209801e-02,1.4551906273381476e-01,6.5605790979212042e-02,9.8408686468818063e-02,0.0000000000000000e+00,0,0,3.4413230000000000e-03,
16,9.2179048894600264e+00,5.2252482897036368e+00,1.1555589581685588e+00,1.7908258283390657e+00,8.2102064160058996e-01,1.7888873841840820e+01,1.7909200356720574e+00,9.1792898277470547e-01,1.7963753951637159e+01,1.7908258283390657e+00,8.2102064160058996e-01,1.7888873841840820e+01,1.7909200356720574e+00,9.1792898277470547e-01,1.7963753951637159e+01,6.6100052257811470e-01,3.7469380423351584e-01,7.3675855904959575e-01,3.7649057602042973e-01,5.0000000000000266e-01,nan,nan,6.3025027796345574e+00,5.1469438214659986e+00,7.1708325319554830e-02,0.0000000000000000e+00,9.2179048894600264e+00,5.2252482897036368e+00,1.1555589581685588e+00,6.6100052257811470e-01,3.7469380423351584e-01,7.3675855904959575e-01,3.7649057602042973e-01,5.0000000000000266e-01,nan,nan,6.3025027796345574e+00,5.1469438214659986e+00,7.1708325319554830e-02,0.0000000000000000e+00,1.7889889104712701e+01,3.6738357355911841e-02,4.1051032080029715e-01,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,9.2591345531783054e-02,1.3888701829767447e-01,6.6756335565929525e-02,1.0013450334889429e-01,0.0000000000000000e+00,0,0,3.6292399999999997e-03,
17,7.9792081226140397e+00,3.8645186992985305e+00,1.1283648516785352e+00,1.8147832977352305e+00,7.1078700145883000e-01,1.8132287514378397e+01,1.8148542326976433e+00,7.9468402639259306e-01,1.8207928320148834e+01,1.8147832977352305e+00,7.1078700145883000e-01,1.8132287514378397e+01,1.8148542326976433e+00,7.9468402639259306e-01,1.8207928320148834e+01,6.5885255920875851e-01,3.1909783477471260e-01,7.3774544734585357e-01,3.2070750063739328e-01,5.0000000000000311e-01,nan,nan,4.8682693844601150e+00,3.7399045327815799e+00,8.2571171109259670e-02,0.0000000000000000e+00,7.9792081226140397e+00,3.8645186992985305e+00,1.1283648516785352e+00,6.5885255920875851e-01,3.1909783477471260e-01,7.3774544734585357e-01,3.2070750063739328e-01,5.0000000000000311e-01,nan,nan,4.8682693844601150e+00,3.7399045327815799e+00,8.2571171109259670e-02,0.0000000000000000e+00,1.8131787161642485e+01,3.6295665954704612e-02,3.5539350072941722e-01,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,8.8390902441684127e-02,1.3258635366252616e-01,6.6641526178820243e-02,9.9962289268230364e-02,0.0000000000000000e+00,0,0,3.8185509999999999e-03,
18,6.9046846295541835e+00,2.7829531872175375e+00,1.1124334542898913e+00,1.8335860946505083e+00,6.0353851767534772e-01,1.8322477481425775e+01,1.8336331510159236e+00,6.7477657628076793e-01,1.8399680968803196e+01,1.8335860946505083e+00,6.0353851767534772e-01,1.8322477481425775e+01,1.8336331510159236e+00,6.7477657628076793e-01,1.8399680968803196e+01,6.5772392330630047e-01,2.6509753694466376e-01,7.3480448895270978e-01,2.6639626147838014e-01,5.0000000000000011e-01,nan,nan,3.7241440129494898e+00,2.6117105586595986e+00,9.5257634286588400e-02,0.0000000000000000e+00,6.9046846295541835e+00,2.7829531872175375e+00,1.1124334542898913e+00,6.5772392330630047e-01,2.6509753694466376e-01,7.3480448895270978e-01,2.6639626147838014e-01,5.0000000000000011e-01,nan,nan,3.7241440129494898e+00,2.6117105586595986e+00,9.5257634286588400e-02,0.0000000000000000e+00,1.8322724508293661e+01,3.6671721893010163e-02,3.0176925883767391e-01,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,8.4545578475025709e-02,1.2681836771253863e-01,6.6645377774931069e-02,9.9968066662396660e-02,0.0000000000000000e+00,0,0,4.0552060000000004e-03,
19,5.8993608048746067e+00,1.9293616192836689e+00,1.1036882748888841e+00,1.8475781627758934e+00,4.9943197172901532e-01,1.8465249907939391e+01,1.8476088799128612e+00,5.5838191946141569e-01,1.8543461573281292e+01,1.8475781627758934e+00,4.9943197172901532e-01,1.8465249907939391e+01,1.8476088799128612e+00,5.5838191946141569e-01,1.8543461573281292e+01,6.5056445762472981e-01,2.1276442260898973e-01,7.2762744453050965e-01,2.1382872069529296e-01,4.9999999999999989e-01,nan,nan,2.8162849351147550e+00,1.7125966602258709e+00,1.1027710952806485e-01,0.0000000000000000e+00,5.8993608048746067e+00,1.9293616192836689e+00,1.1036882748888841e+00,6.5056445762472981e-01,2.1276442260898973e-01,7.2762744453050965e-01,2.1382872069529296e-01,4.9999999999999989e-01,nan,nan,2.8162849351147550e+00,1.7125966602258709e+00,1.1027710952806485e-01,0.0000000000000000e+00,1.8465127728636443e+01,3.6951563255517871e-02,2.4971598586450761e-01,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,8.0989211738761641e-02,1.2148381760814243e-01,6.6074754788025380e-02,9.9112132182038071e-02,0.0000000000000000e+00,0,0,4.2439440000000004e-03,
20,4.9996403356913754e+00,1.2659477740947203e+00,1.0992930405771024e+00,1.8572513975832718e+00,3.9866433359588238e-01,1.8564374146258793e+01,1.8572689704817509e+00,4.4572027506252310e-01,1.8643769169418363e+01,1.8572513975832718e+00,3.9866433359588238e-01,1.8564374146258793e+01,1.8572689704817509e+00,4.4572027506252310e-01,1.8643769169418363e+01,6.4052986852958971e-01,1.6218713884627575e-01,7.1599842035355299e-01,1.6299008425191316e-01,5.0000000000000000e-01,nan,nan,2.1055289081177611e+00,1.0062358675406586e+00,1.2811518939812178e-01,0.0000000000000000e+00,4.9996403356913754e+00,1.2659477740947203e+00,1.0992930405771024e+00,6.4052986852958971e-01,1.6218713884627575e-01,7.1599842035355299e-01,1.6299008425191316e-01,5.0000000000000000e-01,nan,nan,2.1055289081177611e+00,1.0062358675406586e+00,1.2811518939812178e-01,0.0000000000000000e+00,1.8564434688158293e+01,3.7145027951665438e-02,1.9933216679794119e-01,1.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000001e-01,7.7741238990783501e-02,1.1661185848617520e-01,6.5246624699369982e-02,9.7869937049054945e-02,0.0000000000000000e+00,0,0,4.4158260000000003e-03,
